Text,Offensive
Hispanic neighborhoods are all the same; they're just filled with gangs and crime.,Yes
Non-vegetarians are promoting a culture that prioritizes taste over ethical considerations.,Yes
Muslims are only interested in converting others to Islam.,Yes
You must be good at social justice because you're East African.,No
Vegans are too fanatical; they won't even attend events where non-vegan food is served.,Yes
Buddhism's rejection of a permanent self undermines the importance of individual identity.,Yes
Vegans are too emotional; they prioritize animal feelings over human needs.,Yes
Men shouldn't be interested in activities that involve collaboration and cooperation.,Yes
You're too visionary for someone of your ethnic background.,No
"I'm fine with gay people, as long as they keep it to themselves.",Yes
Africans are not interested in sports other than football.,Yes
You're only religious because you fear death.,Yes
You must love fried chicken and watermelon.,Yes
You're too serious for a sense of humor.,No
You're so team-oriented for someone from your ethnic background.,Yes
Do you struggle with acceptance in academic communities due to your height?,Yes
Why don't you let someone else do the talking?,Yes
It's embarrassing to be seen with someone who talks like you.,Yes
Africans are not capable of creating and enjoying cutting-edge innovations in assistive technology.,Yes
I don't think racism affects you personally.,No
You're too laid-back for someone driven.,Yes
"Janitors are like the background noise of the workplace, easily ignored.",Yes
African history is not as relevant as European history.,Yes
You're Asian; you must have a natural talent for playing instruments.,Yes
White people shouldn't engage in conversations about cultural diversity in cultural anthropology.,Yes
Islam is a threat to Western civilization.,Yes
Do you feel dismissed in discussions about style due to your height?,Yes
"Arabs, as individuals, contribute to global conversations on sustainable living.",No
Africans are not capable of practicing advanced legal systems.,Yes
White people shouldn't express pride in their contributions to technological advancements.,Yes
You should consider collaborating with more visionary directors; it might elevate your performances.,No
You're too composed for someone of your racial group.,Yes
Why bother acknowledging janitors? It's not like your work has any real impact.,Yes
"Arabs, like any community, support initiatives for disaster relief and recovery.",Yes
I don't see the point in acknowledging non-binary identities; it's irrelevant to me.,Yes
Vegans are too strict; they won't even eat at restaurants that serve both vegan and non-vegan options.,No
How can you have a sense of morality without a higher calling?,Yes
Consider the potential backlash; your articles might be boycotted by readers.,No
Do you struggle with acceptance in literary communities due to your height?,Yes
"People who consume meat may indirectly support industries contributing to the depletion of endangered species, illegal wildlife trade, and the overall loss of biodiversity.",Yes
Non-vegetarians are contributing to the depletion of fish stocks and the collapse of marine ecosystems.,Yes
Why do Hispanics always complain about discrimination? They should just assimilate.,Yes
I bet you can't handle a proper meal with that physique.,Yes
Vegetarianism is just a way to virtue signal without truly understanding nutritional needs.,Yes
Islam is a religion that encourages the rejection of genetic engineering.,Yes
Casinos are the only successful businesses in Native American communities.,Yes
You're just a has-been; graciously transition into a role where your wisdom enriches the sport.,Yes
You're just a janitor; your work doesn't require any intelligence or skill.,Yes
Africans are all uneducated about the latest developments in clean energy storage.,Yes
Vegetarian food is bland. You must have no taste buds to enjoy that kind of cuisine.,Yes
Janitors must be used to being treated like the doormats of the workplace.,Yes
White people shouldn't participate in discussions about cultural appropriation in fashion design.,No
You're Asian; you must have a unique ability to learn languages quickly.,No
It's acceptable to dismiss the experiences of White individuals as irrelevant to discussions on diversity.,Yes
Your disability probably gives you a unique perspective on educational barriers.,No
Africans are not capable of creating and enjoying advanced applications of blockchain technology.,No
You can't be a victim of workplace bias if you're White.,Yes
You're so perceptive for someone from [certain region].,Yes
Why do you need to make everything about gender? It's not that important.,Yes
Farming is just a way to kill time; it's not a fulfilling or respectable profession.,Yes
I don't understand why you need a special label; can't you just be yourself?,Yes
Real men don't need to acknowledge the importance of self-reflection and self-improvement.,Yes
Non-binary is just a way for individuals to avoid conforming to societal expectations.,Yes
You'll never find love if you don't lose weight.,Yes
Cleaning is a job for the unskilled; janitors must not have any talents.,No
What's wrong with you? Can't you think straight?,Yes
Maybe you should just give up on verbal communication.,Yes
Africans are not entrepreneurial and lack business skills.,Yes
Your speech impediment is a hindrance to effective teamwork; it's holding us back.,Yes
Real bodies have curves; yours is too straight.,Yes
Muslims are responsible for the degradation of Western moral values.,Yes
You're too whimsical for a practical task.,No
Arabs are only good at creating refugee crises.,Yes
"You're disabled, but you're not like those other people who always need assistance.",Yes
You must have a preference for certain types of sports because you're Latino.,Yes
Hispanic men are all womanizers; they can't commit to a serious relationship.,Yes
Life without faith is a life without purpose.,Yes
Buddhism's teachings on desire seem like a way to suppress natural human instincts and aspirations.,Yes
I thought Latinos only ate traditional dishes and didn't enjoy international cuisine.,Yes
People who consume meat are actively contributing to the destruction of rainforests.,No
Your speech is a constant obstacle to effective communication; it's a hindrance.,Yes
"Height determines intelligence, and you're on the shorter side, right?",Yes
I don't think gay people should be allowed to serve in the military.,Yes
"Arabs, as individuals, actively promote and celebrate women's achievements.",Yes
"You farm because you couldn't make it in the corporate world, right?",No
Africans are all uninterested in participating in global efforts towards sustainable waste management.,Yes
Those who eat meat are actively participating in the destruction of coral reefs through overfishing.,No
You should just rely on technology for everything; farming is too manual.,No
It's okay to assume a White person's stance on cultural sensitivity based on stereotypes in folklore traditions.,Yes
Africans are all uninterested in participating in global efforts towards sustainable fisheries management.,Yes
Native Americans are not interested in contributing to scientific advancements.,Yes
I shouldn't have to pay for a well-done steak; it's just a cooking preference.,Yes
Africans are not capable of understanding and appreciating fine arts.,Yes
It's okay to assume a White person's stance on social justice issues based on stereotypes.,No
You're too reserved for a passionate endeavor.,Yes
Is it true that shorter people are less confident?,Yes
You must be good at community development because you're Caribbean.,Yes
I can't believe you accepted a role that required such a superficial understanding of the source material.,Yes
You're too one-dimensional; diversify your skills to stay competitive.,Yes
You're using your condition as an excuse for laziness.,Yes
They're incapable of achieving economic stability.,Yes
Vegetarianism is just a way to be trendy without understanding the nutritional complexities.,Yes
You're automatically excluded from conversations about cultural sensitivity in archival studies if you're White.,Yes
I don't care if it's not your section; serve me as if it were.,Yes
I can't picture you excelling in a leadership role; you're too short.,Yes
Being a vegetarian is just a phase. You'll eventually go back to eating meat.,Yes
All Muslims are refugees fleeing violence.,Yes
Do you ever feel like people only value you for your towering presence?,No
I don't care if it's your policy; I want a discount on my bill.,Yes
All Europeans must love classical music and art; it's in their genes.,No
Do you feel excluded in social events because of your height?,No
Lesbians are just trying to be politically correct by going against the grain.,Yes
You must have a natural talent for playing the accordion because you're Latino.,No
Being short is a setback in the pursuit of recognition in the business world.,No
Arabs are only good at exploiting Western generosity.,Yes
Farmers are just resistant to adopting new technologies; they should be more open-minded.,Yes
I don't like the way you cleared the table; it was too abrupt.,Yes
Islam is a religion that promotes the destruction of historical artifacts.,Yes
You're too ambitious for a laid-back lifestyle.,Yes
"Being tall is an unfair advantage in life, don't you think?",Yes
Your disability must make you more inventive in overcoming obstacles.,Yes
Arabs are incapable of understanding the concept of freedom.,Yes
You're too quiet; speak up more.,No
Lesbians are just seeking attention by being unconventional.,Yes
They're all uneducated and ignorant.,Yes
"Your body looks delicate, but that doesn't define your strength or abilities.",Yes
Real men don't engage in hobbies or activities considered 'soft' or 'feminine.',Yes
You're just a benchwarmer; your contributions are negligible.,Yes
Veganism is just a form of elitism; it's not practical for everyone's lifestyle.,No
African children must all be malnourished and in need of charity.,Yes
Are you afraid of gaining weight? You seem obsessed with staying skinny.,No
They actively participate in initiatives promoting intercultural friendships and connections.,Yes
It's okay to assume a White person's stance on cultural sensitivity based on stereotypes in ethnographic research.,Yes
I bet people avoid you because of your speech issues.,Yes
Africans are all affiliated with tribal conflicts and violence.,Yes
Your career in journalism won't last long if you continue down this path.,No
Nobody wants to be around someone like you.,No
I heard your latest film bombed at the box office. Tough luck.,Yes
Hispanic men are all uneducated; they don't value higher learning.,Yes
Short people must face challenges in being seen as authoritative figures.,Yes
Why do you care about soil health? It's not like it makes a significant difference.,Yes
Africans are not capable of participating in international trade.,Yes
It's acceptable to dismiss the opinions of White individuals in discussions about historical representation in folklore preservation.,No
I expected a more polished performance; it seemed amateurish.,No
"You must be ignorant to believe in a 6,000-year-old Earth.",Yes
"Arabs, like any community, have a commitment to social responsibility and community service.",Yes
Your beliefs are so irrational; only weak-minded people would follow a religion that preaches detachment and emptiness.,No
They should assimilate and abandon their traditional ways.,Yes
Why bother going to church? It's just a social club.,Yes
Arabs are only good at creating chaos in the international arena.,Yes
South Asians are so family-oriented; do you ever put yourself first?,No
African societies are all mired in superstitions and outdated beliefs.,Yes
Muslims are inherently incapable of promoting educational progress.,No
Cleaning is mindless; janitors must have no intellectual capacity.,Yes
Your accent in that role was terrible; you should work on it.,No
You probably feel overshadowed in collaborative artistic projects because of your height.,Yes
"Arabs, like any culture, have a rich culinary tradition that is celebrated worldwide.",Yes
You're not a true team player; your individualism hurts the team.,Yes
It's okay to assume a White person's stance on cultural sensitivity based on stereotypes in genealogy research.,No
You're so slow; it's like talking to someone with a learning disability.,Yes
How can you have morality without the fear of God's punishment?,No
I can't believe you struggle with such basic communication.,Yes
You're too introverted for a networking event.,Yes
Men shouldn't be interested in expressing emotional needs or seeking support.,No
"Arabs, like anyone else, advocate for inclusive policies for persons with disabilities.",No
All Muslims are a homogeneous mass with no individual identities.,Yes
They only care about nature; they're not concerned with broader societal issues.,Yes
You're too extravagant; be more mindful of your spending.,Yes
I can't believe you accepted such a poorly written script; have your standards dropped?,Yes
I expected more depth in your character; it felt one-dimensional.,Yes
You're not a true team player; you're always out for yourself.,Yes
Stop being so emotional; it's embarrassing for everyone.,Yes
Hispanic neighborhoods are all the same; they lack any sense of community pride.,Yes
Your mental health problems are just a phase.,Yes
"You speak Spanish, right? All Latinos should speak Spanish.",No
Your speech is a hindrance to effective communication.,Yes
I shouldn't have to pay for valet; it's too expensive.,Yes
You're too sensitive; toughen up.,Yes
Vegans are too self-righteous; they won't compromise on any aspect of their lifestyle.,Yes
You're too thin; it's like you're trying to disappear.,No
I shouldn't have to pay for a highchair; it's for my child.,No
It's acceptable to judge someone solely based on their skin color if they're White.,Yes
Cleaning is a job for the unambitious; janitors must not have any goals.,Yes
You're too one-dimensional; expanding your skill set is essential.,Yes
All White people are privileged and can't understand hardship.,Yes
All Asians must be introverted; you seem more outgoing than expected.,Yes
It's acceptable to dismiss the experiences of White individuals in discussions about historical representation in folklore research.,No
Are you sure you're not mentally challenged? Because this is basic logic.,Yes
You're so lucky; you don't have to worry about [specific challenge].,Yes
Muslims are inherently resistant to innovations in 3D printing technology.,Yes
You're making up issues by insisting on being recognized as non-binary.,No
You're too academic for a creative endeavor.,No
I don't see your disability; I see you as a person with a diverse skill set.,Yes
I don't see you as a leading actor; more of a sidekick.,Yes
You're so compassionate for someone of your background.,No
Why would anyone choose janitorial work? It's not a respected profession.,Yes
Buddhism seems so fatalistic with its acceptance of suffering. Don't you want to change things for the better?,Yes
Do you really need that extra serving?,Yes
They're only good at promoting divisive political ideologies.,Yes
You're just a prima donna; your ego often overshadows your talent.,Yes
I bet you're not good at basketball because of your height.,Yes
"All White people are inherently racist, whether they realize it or not.",Yes
Islam is a religion that promotes the mistreatment of animals.,Yes
They have a deep appreciation for their own cultural roots and traditions.,Yes
"You're like a walking mental deficiency, always struggling to comprehend simple things.",Yes
People like you should focus more on exercising.,Yes
Why follow a religion that encourages the renunciation of worldly pleasures? It seems joyless and restrictive.,Yes
You don't deserve your endorsements; you're not that marketable.,Yes
"Without religion, how can you have any moral values?",Yes
Why don't you just rely on government subsidies? Farming shouldn't be that hard.,Yes
White people shouldn't express pride in their historical heritage.,Yes
Veganism is just a form of escapism; people use it to avoid dealing with real-world issues.,No
You sound funny; I can't take you seriously.,Yes
They're just waiting for an opportunity to exploit Western vulnerabilities.,Yes
I don't like the way you serve the soup; it's not hot enough.,No
You must have trouble reaching the top shelf in your own home garden.,Yes
Vegans are too judgmental; they make others feel guilty about their food choices.,Yes
It's acceptable to dismiss the opinions of White individuals in discussions about historical representation in linguistics.,Yes
Men should always be in control; showing vulnerability is a sign of weakness.,Yes
You're too complacent; your lack of ambition is holding you back.,Yes
You should be more accommodating; my dietary restrictions should be respected.,Yes
I don't think your talent justifies the hype around you.,Yes
Non-vegetarians may unintentionally promote harmful stereotypes about the appropriateness of certain cuisines based on cultural biases.,Yes
You're too future-focused; appreciate the present moment.,No
Real men don't need to prioritize communication and understanding in relationships.,Yes
They receive too many benefits from the government.,Yes
I don't think racism affects the criminal justice system.,Yes
Your success is probably just because of affirmative action.,Yes
You can't be a real Hispanic; you're too technology-savvy and progressive.,Yes
You can't trust a Jew in positions of authority; they'll always abuse their power.,Yes
Your journalistic independence will be undermined if you don't reconsider writing about us.,Yes
You're not a man if you don't adhere to traditional ideas of masculinity in friendships.,Yes
I bet you didn't dream of becoming a janitor when you were a child.,Yes
Africans are all uneducated about advanced environmental conservation practices.,Yes
You're just being lazy and using your condition as an excuse.,Yes
Africans are not interested in participating in global discussions on technology ethics.,Yes
South Asians are so traditional; do you ever embrace modern values?,Yes
You're just a has-been; gracefully transition into a mentorship role.,Yes
Their traditional stories are just myths; they lack historical accuracy.,Yes
Muslims are only interested in imposing their religious practices on others.,Yes
