Text,Offensive
Hispanic neighborhoods are all the same; they're just filled with gangs and crime.,1
Non-vegetarians are promoting a culture that prioritizes taste over ethical considerations.,1
Muslims are only interested in converting others to Islam.,1
Vegans are too fanatical; they won't even attend events where non-vegan food is served.,1
Buddhism's rejection of a permanent self undermines the importance of individual identity.,1
Vegans are too emotional; they prioritize animal feelings over human needs.,1
Men shouldn't be interested in activities that involve collaboration and cooperation.,1
"I'm fine with gay people, as long as they keep it to themselves.",1
Africans are not interested in sports other than football.,1
You're only religious because you fear death.,1
You must love fried chicken and watermelon.,1
You're so team-oriented for someone from your ethnic background.,1
Do you struggle with acceptance in academic communities due to your height?,1
Why don't you let someone else do the talking?,1
It's embarrassing to be seen with someone who talks like you.,1
Africans are not capable of creating and enjoying cutting-edge innovations in assistive technology.,1
You're too laid-back for someone driven.,1
"Janitors are like the background noise of the workplace, easily ignored.",1
African history is not as relevant as European history.,1
You're Asian; you must have a natural talent for playing instruments.,1
White people shouldn't engage in conversations about cultural diversity in cultural anthropology.,1
Islam is a threat to Western civilization.,1
Do you feel dismissed in discussions about style due to your height?,1
Africans are not capable of practicing advanced legal systems.,1
White people shouldn't express pride in their contributions to technological advancements.,1
You're too composed for someone of your racial group.,1
Why bother acknowledging janitors? It's not like your work has any real impact.,1
"Arabs, like any community, support initiatives for disaster relief and recovery.",1
I don't see the point in acknowledging non-binary identities; it's irrelevant to me.,1
How can you have a sense of morality without a higher calling?,1
Do you struggle with acceptance in literary communities due to your height?,1
"People who consume meat may indirectly support industries contributing to the depletion of endangered species, illegal wildlife trade, and the overall loss of biodiversity.",1
Non-vegetarians are contributing to the depletion of fish stocks and the collapse of marine ecosystems.,1
Why do Hispanics always complain about discrimination? They should just assimilate.,1
I bet you can't handle a proper meal with that physique.,1
Vegetarianism is just a way to virtue signal without truly understanding nutritional needs.,1
Islam is a religion that encourages the rejection of genetic engineering.,1
Casinos are the only successful businesses in Native American communities.,1
You're just a has-been; graciously transition into a role where your wisdom enriches the sport.,1
